DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
04 DRY FOOD,0472 PAPER,รถพยาบาลสำลีก้าน100ก้าน1แถม1,8850185000188,pc,15,16.646
04 DRY FOOD,0420 SWEETED GROCE.2,จูปาจุ๊ปส์ซาวส์ ไบทส์ 80ก,8935001723219,g,36,23.271
06 PHARMACY,0620 OVER THE COUNTER,P_รีนิวเฟรช355มล+60มล+ตลับเลนส์,8859086600251,,2,183.21
04 DRY FOOD,0472 PAPER,เซลล็อกซ์ 3ชั้น 3XL 6 ม้วน,8850046339082,pc,30,104.825
04 DRY FOOD,0470 HOUSEHOLD,อาทแร็ท กลู สมาร์ทแพ็ค,8850273147214,g,23,33.64
02 HOME LINE,0230 RECREATION,TVF กป.เป้แฟชั่น PSC2559 ฟ้า,2000008466332,pc,4,255
04 DRY FOOD,0440 BEVERAGE,สไปรทแคน325ซีซีแพค6(M),8851959632369,mL,14,72.3
04 DRY FOOD,0430 SALTED GROCERY,ไวไวควิกต้มยำกุ้ง60กรัมแพค10,8850100107206,g,38,54.375
01 HARD LINE,0120 HOME ENTERTAIN,ACONATIC BT SPEAKER AN-RT201,8859474202111,pc,3,1367.1
04 DRY FOOD,0410 SWEETED GROCE.1,แป้งมันนิวเกรด400G(M),8850122334154,g,13,17.951
05 FRESH FOOD,0560 PERISHABLE,รวินท์ฟาร์มน้ำผึ้งเลมอน 350มล,8859581555551,mL,10,17.52
04 DRY FOOD,0460 HBA,จอห์นสันสบู่ก้อน120กรัมX2,8850007020271,g,15,44.583
04 DRY FOOD,0420 SWEETED GROCE.2,สนิกเกอร์ส240-280ก,6914973203778,g,16,130.918
02 HOME LINE,0210 HOUSEWARE,ถุงขยะแชมเปี้ยน24x28(4+1)100ใบ,8851079001519,pc,13,95
04 DRY FOOD,0460 HBA,วาสลีนเซรั่มไวท์&สมูท45มล,8851932386487,mL,4,88.129
02 HOME LINE,0210 HOUSEWARE,ชามกลมใส+ฝา EICI รุ่น 650,8855051149343,pc,11,47.5
02 HOME LINE,0210 HOUSEWARE,HERO ถุงขยะมาตรฐานมีหูผูก30X40,8858773992310,pc,16,44.29
04 DRY FOOD,0430 SALTED GROCERY,รสดีผงปรุงรสหมู 70 กรัม,8850250010937,g,1030,10.62
04 DRY FOOD,0470 HOUSEHOLD,ไฮเตอร์คัลเลอร์น้ำ 800มล ชมพู,8851818939127,mL,16,51.854
04 DRY FOOD,0460 HBA,เคลียร์แชมพู พีโอนี350 แพ็คคู่,8851932463737,mL,10,169.714
04 DRY FOOD,0420 SWEETED GROCE.2,WBPบันบันลันเตาดั้งเดิม14ก P12,8851016120532,g,29,39.79
04 DRY FOOD,0430 SALTED GROCERY,IMP_นงชิม นอกูรี ซีฟู้ด&สไปซี่,31146150304,g,21,32.34
04 DRY FOOD,0420 SWEETED GROCE.2,WBPโรลเลอร์เรียบบีบีคิว12ก P12,8850309205833,g,26,43.37
02 HOME LINE,0210 HOUSEWARE,BESICO PDQชามอป.ขอบเรียบ 6น.,6974310340047,pc,111,9.989
04 DRY FOOD,0461 FACE & COSMETICS,การ์นิเย่ซากุระวอเตอร์เจล50มล.,8994993025107,mL,3,256.05
