Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,41060,100803307,1,N ,18851005050069,BP S-26โปรมิลนมเด็กเล็ก600กP12 ,8851005050062,0,S26 โปรมิล 2 500กรัม ,12,Y 
11252,41060,100803323,1,N ,18851005330062,BPเอส-26 โกลด์ โปรมิล 600กP12 ,8851005330065,0,S26 โกลด์ โปรมิล 2 500กรัม ,12,Y 
11252,41060,100803332,1,N ,18851005320148,BPเอส-26 โกลด์เอสเอ็มเอ600กP12 ,8851005320141,0,S26 โกลด์ เอสเอ็มเอ1 500กรัม ,12,Y 
11252,41060,100827379,1,N ,18851005030061,BPเอส26โกลด์โปรเกรส600กP12 ,8851005030064,0,S26 โกลด์ โปรเกรส 3 500กรัม ,12,Y 
11252,41060,100834367,1,N ,18851359702836,BP ดูเม็กซ์ดูโกรสูตร3จืด550P12 ,8851359702839,0,ดูเม็กซ์ ดูโกร 550ก ,12,Y 
11252,41060,101062207,1,N ,18851359700160,BPดูมิลค์ 1พลัส น้ำผึ้ง550กP12 ,8851359700439,0,ดูมิลค์ 1พลัส น้ำผึ้ง 550ก ,12,N 
11252,41060,101379963,1,N ,18851359705943,BPดูมิลค์ 1พลัส จืด 900กP12 ,8851359705946,0,ดูมิลค์ 1พลัส จืด 850ก ,12,Y 
11252,41060,102010601,1,N ,18851359705851,BPไฮคิว2ซุปเปอร์โกลจืด 600กP12 ,8851359705854,0,ไฮคิวซูเปอร์โกลด์2 570G ,12,Y 
11252,41060,102124068,1,N ,18851359706124,BPดูเม็กซ์ไฮคิวซูเปอร์โกลด์600 ,8851359707124,0,ไฮคิวซูเปอร์โกลด์1 570 ,12,Y 
11252,41060,103186028,1,Y ,8934804051369,เอส-26 โกลด์ เอสเอ็มเอ180มลX24 ,8934804044347,0,เอส-26 โกลด์ เอสเอ็มเอ180มลX3 ,8,Y 
11252,41060,103186029,1,Y ,8934804051376,เอส-26 โกลด์ โปรมิล 180มลX24 ,8934804044316,0,เอส-26 โกลด์ โปรมิล 180มลX3 ,8,Y 
